Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-August-2015,234.1,237.5,232.6,234.65,234.9221650571624,203893,2731,47898985.0,32214.0,15.8,4.9,0.55
4-August-2015,231.0,234.5,227.05,233.35,231.06469010037176,293708,4188,67865548.0,33247.0,11.32,7.45,2.35
3-August-2015,237.9,237.9,229.5,230.1,232.96636160659517,244542,3428,56970060.0,74887.0,30.62,8.4,-7.8
31-July-2015,235.7,240.8,233.75,237.95,237.6910921461146,269268,3712,64002605.0,70731.0,26.27,7.05,2.25
30-July-2015,237.7,239.4,234.05,235.95,236.54198300611893,172415,2752,40783386.0,39308.0,22.8,5.35,-1.75
29-July-2015,234.05,238.5,232.1,235.0,235.44152286403335,170836,2727,40221888.0,38629.0,22.61,6.4,0.95
28-July-2015,241.6,243.45,228.9,232.55,233.493153055967,248432,4467,58007171.0,51956.0,20.91,14.55,-9.05
27-July-2015,252.0,255.9,239.25,241.55,242.52686042115297,364998,5677,88521819.0,151250.0,41.44,16.65,-10.45
24-July-2015,263.5,267.65,249.5,251.45,257.7845963837388,557869,8219,143810035.0,93453.0,16.75,18.15,-12.05
23-July-2015,264.2,271.5,262.55,263.35,266.8419869691693,193541,3261,51644865.0,34017.0,17.58,8.95,-0.85
22-July-2015,259.0,265.4,256.0,264.0,261.8518599043365,101188,1730,26496266.0,24406.0,24.12,9.4,5.0
21-July-2015,264.6,266.25,256.0,257.95,262.34660735719837,113304,1737,29724920.0,19034.0,16.8,10.25,-6.65
20-July-2015,264.0,268.5,260.0,263.8,264.6616488332098,138971,2084,36780294.0,29893.0,21.51,8.5,-0.2
17-July-2015,268.95,269.75,261.45,263.35,265.3808789198488,146498,2483,38877768.0,50668.0,34.59,8.3,-5.6
16-July-2015,268.95,269.65,265.1,266.55,266.76484278237245,100116,1864,26707429.0,24899.0,24.87,4.55,-2.4
15-July-2015,266.85,272.35,265.55,268.25,269.41180346718556,226120,3180,60919397.0,44113.0,19.51,6.8,1.4
14-July-2015,271.0,272.0,266.0,266.3,267.7314666386356,152212,2515,40751942.0,25805.0,16.95,6.0,-4.7
13-July-2015,256.1,272.5,256.1,270.65,267.4847863536565,296050,5101,79188871.0,76605.0,25.88,16.4,14.55
10-July-2015,257.0,259.55,254.3,256.95,256.60929613443307,129968,2111,33350997.0,19219.0,14.79,5.25,-0.05
9-July-2015,264.2,267.4,258.0,259.25,261.15550154877695,184339,2975,48141144.0,22656.0,12.29,9.4,-4.95
8-July-2015,268.0,272.7,263.1,265.0,268.0725199899386,282267,4852,75668026.0,32401.0,11.48,9.6,-3.0
7-July-2015,265.9,271.8,264.6,270.15,268.19356175449275,190642,3523,51128957.0,54721.0,28.7,7.2,4.25
6-July-2015,257.85,265.9,252.0,264.4,260.93719007112463,286961,4549,74878797.0,53448.0,18.63,13.9,6.55
3-July-2015,258.25,262.45,255.6,257.5,259.0390725791588,244161,3612,63247239.0,55254.0,22.63,6.85,-0.75
2-July-2015,250.1,259.8,248.0,257.25,256.0419100017449,464209,6669,118856959.0,84361.0,18.17,11.8,7.15
1-July-2015,244.9,247.95,244.0,245.55,245.84131901683088,155904,2179,38327645.0,26146.0,16.77,3.95,0.65
30-June-2015,243.9,245.6,239.65,243.75,243.19880237298406,161653,2925,39313816.0,20192.0,12.49,5.95,-0.15
29-June-2015,241.8,243.0,235.2,241.6,238.40506088796067,221226,3125,52741398.0,31318.0,14.16,7.8,-0.2
26-June-2015,239.0,247.0,236.5,245.1,241.69082112417516,146543,2449,35418098.0,22518.0,15.37,10.5,6.1
25-June-2015,239.0,243.4,237.75,238.9,240.76340715240448,103993,2023,25037709.0,15640.0,15.04,5.65,-0.1
24-June-2015,243.1,243.45,236.2,240.35,239.45917084790432,197310,3042,47247689.0,41541.0,21.05,7.25,-2.75
23-June-2015,245.9,248.0,242.05,242.85,245.08994518266235,160898,2260,39434482.0,28375.0,17.64,5.95,-3.05
22-June-2015,241.0,247.0,241.0,244.9,244.3234550475606,162950,2519,39812507.0,28009.0,17.19,6.0,3.9
19-June-2015,232.5,241.65,232.5,239.85,236.86298425538058,173075,2624,40995061.0,32803.0,18.95,9.15,7.35
18-June-2015,232.0,236.25,230.7,231.9,233.7390117116553,159670,2444,37321108.0,25977.0,16.27,5.55,-0.1
17-June-2015,229.0,233.4,228.3,231.8,231.22938951765406,141724,2203,32770754.0,24277.0,17.13,5.1,2.8
16-June-2015,229.85,229.85,222.8,228.45,226.2255984402643,138485,2049,31328852.0,17001.0,12.28,7.05,-1.4
15-June-2015,225.5,229.65,222.85,228.15,226.92003471109902,246607,3189,55960069.0,59736.0,24.22,6.8,2.65
12-June-2015,224.0,228.65,219.6,225.1,223.90250261442003,207503,3390,46460441.0,19479.0,9.39,9.05,1.1
11-June-2015,225.25,232.95,225.1,226.5,228.73499548231842,335349,5223,76706052.0,49438.0,14.74,7.85,1.25
10-June-2015,215.5,225.5,215.5,224.0,223.71971562250084,158803,2127,35527362.0,36863.0,23.21,10.0,8.5
9-June-2015,217.5,220.3,215.0,218.8,218.01608460130524,162267,2331,35376816.0,26552.0,16.36,5.3,1.3
8-June-2015,223.0,224.2,217.0,219.1,219.24041923700946,115257,2331,25268993.0,22558.0,19.57,7.2,-3.9
5-June-2015,226.0,227.35,221.7,223.5,224.27104321350353,187210,4005,41985782.0,18350.0,9.8,5.65,-2.5
4-June-2015,222.0,228.6,217.85,226.55,223.8226225230153,303494,4422,67928823.0,31431.0,10.36,10.75,4.55
3-June-2015,226.8,226.8,215.0,221.4,220.8431036977846,317866,4513,70198514.0,30496.0,9.59,11.8,-5.4
2-June-2015,237.0,239.0,218.7,225.9,227.35381736885637,479951,6489,109118692.0,109592.0,22.83,20.3,-11.1
1-June-2015,238.0,240.45,234.5,236.0,238.1336148992469,196520,3101,46798018.0,47085.0,23.96,5.95,-2.0
29-May-2015,237.4,239.9,234.1,237.95,237.3348665006293,149364,2645,35449285.0,25497.0,17.07,5.8,0.55
28-May-2015,237.0,241.45,235.05,236.1,238.78273412411806,245073,3735,58519201.0,26978.0,11.01,6.4,-0.9
27-May-2015,232.7,239.0,231.45,235.95,236.28948448977158,284941,4249,67328562.0,57676.0,20.24,7.55,3.25
26-May-2015,230.0,235.65,230.0,234.8,234.13027510711564,240161,4041,56228961.0,50167.0,20.89,5.65,4.8
25-May-2015,227.35,233.15,226.0,230.15,230.68815601727877,204644,3018,47208947.0,45978.0,22.47,7.15,2.8
22-May-2015,229.95,231.25,225.3,227.35,227.87632197838664,207927,3052,47381640.0,40548.0,19.5,5.95,-2.6
21-May-2015,221.4,232.5,218.25,229.95,227.95894319078238,489322,6593,111545326.0,96936.0,19.81,14.25,8.55
20-May-2015,223.3,224.35,219.5,220.2,221.35619310419457,147858,2003,32729284.0,49267.0,33.32,4.85,-3.1
19-May-2015,222.8,225.7,221.4,222.0,223.43671406578585,702826,3100,157037132.0,485582.0,69.09,4.3,-0.8
18-May-2015,222.9,225.0,219.35,224.15,222.3837608371373,178322,2841,39655917.0,40653.0,22.8,5.65,1.25
15-May-2015,225.25,227.0,219.8,221.4,223.16469788107008,179383,2243,40031953.0,46762.0,26.07,7.2,-3.85
14-May-2015,219.0,224.75,215.6,224.15,221.28077994041638,287663,5113,63654293.0,50324.0,17.49,9.15,5.15
13-May-2015,224.7,227.0,217.7,219.8,220.3074947780165,811952,4159,178879111.0,55319.0,6.81,9.3,-4.9
12-May-2015,228.0,230.85,221.05,222.45,224.78485161299116,293523,4260,65979524.0,34485.0,11.75,9.8,-5.55
