Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-December-2016,3228.7,3241.2,3186.2,3198.0,3212.9708942009734,9036,944,29032405.0,1318.0,14.59,55.0,-30.7
5-December-2016,3183.65,3258.0,3170.6,3224.4,3224.134340473507,22175,2195,71495179.0,4543.0,20.49,87.4,40.75
2-December-2016,3160.0,3213.0,3150.5,3183.7,3179.2959828810426,20562,2281,65372684.0,3663.0,17.81,62.5,23.7
1-December-2016,3159.5,3215.0,3148.7,3178.35,3167.618263637361,18222,2249,57720340.0,4186.0,22.97,66.3,18.85
30-November-2016,3160.0,3176.0,3135.0,3169.0,3160.8613116950796,13433,1573,42459850.0,3992.0,29.72,41.0,9.0
29-November-2016,3117.9,3180.0,3074.4,3160.05,3143.9834987351624,25695,2898,80784656.0,3582.0,13.94,105.6,42.15
28-November-2016,3050.0,3117.0,3050.0,3101.5,3093.8103613848875,19785,2457,61211038.0,2609.0,13.19,67.0,51.5
25-November-2016,3050.0,3092.5,3029.4,3039.1,3056.8933428350847,16839,1755,51475027.0,4524.0,26.87,63.1,-10.9
24-November-2016,2999.0,3069.0,2978.55,3049.6,3028.0599660729436,11790,1696,35700827.0,2599.0,22.04,90.45,50.6
23-November-2016,3030.0,3030.0,2996.35,3012.85,3011.733721252424,14436,1419,43477388.0,2937.0,20.34,33.65,-17.15
22-November-2016,2941.0,3015.0,2933.25,2997.0,2979.5516750644247,25999,2525,77465364.0,7670.0,29.5,81.75,56.0
21-November-2016,2945.0,2953.45,2897.0,2928.1,2920.99936776386,50614,2522,147843462.0,37234.0,73.56,56.45,-16.9
18-November-2016,2900.0,2942.0,2876.0,2934.75,2923.1224380428516,98899,3908,289093886.0,78081.0,78.95,66.0,34.75
17-November-2016,2949.0,2949.0,2844.4,2878.15,2875.383648652317,36841,4613,105932009.0,11591.0,31.46,104.6,-70.85
16-November-2016,2926.0,3018.0,2894.35,2914.5,2954.8528716579185,32577,2957,96260242.0,5147.0,15.8,123.65,-11.5
15-November-2016,2980.0,2980.0,2869.0,2900.7,2904.7038776781865,41726,4708,121201674.0,17142.0,41.08,111.0,-79.3
11-November-2016,3144.55,3144.55,2970.0,2981.75,3020.294168059305,46674,5392,140969210.0,13501.0,28.93,174.55,-162.8
10-November-2016,3290.0,3312.45,3135.0,3144.55,3204.4965909873504,43561,5156,139591076.0,15637.0,35.9,177.45,-145.45
9-November-2016,3262.0,3262.0,3097.95,3235.7,3204.1245824816788,60177,6516,192814605.0,10739.0,17.85,164.05,-26.3
8-November-2016,3378.0,3381.0,3327.0,3369.6,3360.2573032855303,13179,1714,44284831.0,3572.0,27.1,54.0,-8.4
7-November-2016,3300.0,3379.0,3264.65,3350.15,3326.2245315323885,21026,2726,69937197.0,3989.0,18.97,114.35,50.15
4-November-2016,3390.0,3390.0,3250.0,3282.95,3300.6379554020104,25472,3684,84073850.0,6700.0,26.3,140.0,-107.05
3-November-2016,3330.0,3400.0,3317.0,3379.5,3371.518737439414,25377,2554,85559031.0,8478.0,33.41,83.0,49.5
2-November-2016,3360.0,3360.0,3316.25,3324.25,3337.4018306636153,13110,1658,43753338.0,3738.0,28.51,43.75,-35.75
1-November-2016,3370.0,3388.1,3355.0,3370.8,3374.316340685255,14418,1540,48650893.0,4492.0,31.16,33.1,0.8
30-October-2016,3370.6,3381.4,3350.0,3354.6,3358.678052828101,7231,617,24286601.0,3499.0,48.39,31.4,-16.0
28-October-2016,3345.0,3420.0,3324.9,3347.65,3349.8526793693923,27973,2357,93705429.0,4477.0,16.0,95.1,2.65
27-October-2016,3470.0,3470.0,3300.15,3314.75,3348.413432774937,147088,5748,492511435.0,94914.0,64.53,169.85,-155.25
26-October-2016,3410.0,3454.8,3375.0,3421.55,3420.512557314565,52997,4949,181276904.0,12813.0,24.18,79.8,11.55
25-October-2016,3335.0,3372.7,3331.05,3357.25,3348.8589884216944,16410,1738,54954776.0,7728.0,47.09,41.65,22.25
24-October-2016,3360.0,3371.5,3330.0,3334.3,3349.13492614256,20174,2064,67565448.0,9010.0,44.66,41.5,-25.7
21-October-2016,3371.1,3375.5,3344.55,3360.55,3360.96273975778,17257,1612,58000134.0,2785.0,16.14,30.95,-10.55
20-October-2016,3376.3,3404.45,3355.5,3362.75,3380.2425398688974,20442,1667,69098918.0,7034.0,34.41,48.95,-13.55
19-October-2016,3420.0,3420.0,3360.0,3367.0,3378.7215409099417,21364,2305,72183007.0,7367.0,34.48,60.0,-53.0
18-October-2016,3404.15,3435.65,3383.25,3410.5,3410.518868910725,38264,3278,130500094.0,21577.0,56.39,52.4,6.35
